price_comparison_id,product_id,merchant_id,cluster_id,category_id,date_id,offer_quality_id,price,price_difference_from_avg,price_difference_percentage,is_best_offer,price_rank_in_cluster,price_rank_in_category,price_timestamp
1,1,1,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
2,2,2,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
3,3,3,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
4,4,4,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
5,5,5,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
6,6,6,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
7,7,7,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
8,8,8,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
9,9,9,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
10,10,10,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
11,11,11,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
12,12,12,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
13,13,13,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
14,14,14,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
15,15,15,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
16,16,16,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
17,17,17,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
18,18,18,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
19,19,19,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
20,20,20,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
21,21,21,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
22,22,22,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
23,23,23,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
24,24,3,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
25,25,2,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
26,26,4,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
27,27,1,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
28,28,5,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
29,29,6,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
30,30,7,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
31,31,9,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
32,32,8,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
33,33,10,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
34,34,11,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
35,35,24,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
36,36,12,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
37,37,14,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
38,38,13,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
39,39,15,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
40,40,22,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
41,41,18,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
42,42,25,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
43,43,20,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 14:34:56
