product_classification_id,product_id,category_id,merchant_id,cluster_id,date_id,classification_confidence,is_validated,last_update_timestamp
1,1,2612,1,1,1,100.0,True,2025-06-14 19:00:44
2,2,2612,2,1,1,100.0,True,2025-06-14 19:00:44
3,3,2612,3,1,1,100.0,True,2025-06-14 19:00:44
4,4,2612,4,1,1,100.0,True,2025-06-14 19:00:44
5,5,2612,5,1,1,100.0,True,2025-06-14 19:00:44
6,6,2612,6,1,1,100.0,True,2025-06-14 19:00:44
7,7,2612,7,1,1,100.0,True,2025-06-14 19:00:44
8,8,2612,8,1,1,100.0,True,2025-06-14 19:00:44
9,9,2612,9,1,1,100.0,True,2025-06-14 19:00:44
10,10,2612,10,1,1,100.0,True,2025-06-14 19:00:44
11,11,2612,11,1,1,100.0,True,2025-06-14 19:00:44
12,12,2612,12,1,1,100.0,True,2025-06-14 19:00:44
13,13,2612,13,1,1,100.0,True,2025-06-14 19:00:44
14,14,2612,14,1,1,100.0,True,2025-06-14 19:00:44
15,15,2612,15,1,1,100.0,True,2025-06-14 19:00:44
16,16,2612,16,1,1,100.0,True,2025-06-14 19:00:44
17,17,2612,17,1,1,100.0,True,2025-06-14 19:00:44
18,18,2612,18,1,1,100.0,True,2025-06-14 19:00:44
19,19,2612,19,1,1,100.0,True,2025-06-14 19:00:44
20,20,2612,20,1,1,100.0,True,2025-06-14 19:00:44
21,21,2612,21,1,1,100.0,True,2025-06-14 19:00:44
22,22,2612,22,1,1,100.0,True,2025-06-14 19:00:44
23,23,2612,23,1,1,100.0,True,2025-06-14 19:00:44
24,24,2612,3,2,1,100.0,True,2025-06-14 19:00:44
25,25,2612,2,2,1,100.0,True,2025-06-14 19:00:44
26,26,2612,4,2,1,100.0,True,2025-06-14 19:00:44
27,27,2612,1,2,1,100.0,True,2025-06-14 19:00:44
28,28,2612,5,2,1,100.0,True,2025-06-14 19:00:44
29,29,2612,6,2,1,100.0,True,2025-06-14 19:00:44
30,30,2612,7,2,1,100.0,True,2025-06-14 19:00:44
31,31,2612,9,2,1,100.0,True,2025-06-14 19:00:44
32,32,2612,8,2,1,100.0,True,2025-06-14 19:00:44
33,33,2612,10,2,1,100.0,True,2025-06-14 19:00:44
34,34,2612,11,2,1,100.0,True,2025-06-14 19:00:44
